measured_on,inv_string01_ac_output_(kwh)_inv_150164,inv_string01_ac_output_(power_factor)_inv_150165,inv_string01_ac_voltage_(v)_inv_150163,inv_string01_dc_voltage_(v)_inv_150162,inv_string01_temperature_(c)_inv_150166
2018-12-29 06:45:00,0.0,0.0,123.891,0.0,0.0
2018-12-29 10:45:00,0.0,0.0,123.875,0.0,0.0
2018-12-29 20:45:00,0.0,0.0,121.844,0.0,0.0
2018-12-30 02:45:00,0.0,0.0,122.75,0.0,0.0
2018-12-30 16:45:00,0.0,0.0,121.672,0.0,0.0
2018-12-31 08:45:00,0.0,0.0,123.688,0.0,0.0
2018-12-31 12:45:00,0.0,0.0,123.125,0.0,0.0
2018-12-31 22:45:00,0.0,0.0,120.641,0.0,0.0
2019-01-01 04:45:00,0.0,0.0,123.766,0.0,0.0
2019-01-01 18:45:00,0.0,0.0,121.562,0.0,0.0
2019-01-02 00:45:00,0.0,0.0,119.328,0.0,0.0
2019-01-02 14:45:00,0.0,0.0,122.516,0.0,0.0
2019-01-03 06:45:00,0.0,0.0,123.906,0.0,0.0
2019-01-03 10:45:00,0.0,0.0,122.75,0.0,0.0
2019-01-03 20:45:00,0.0,0.0,120.875,0.0,0.0
2019-01-04 02:45:00,0.0,0.0,121.0,0.0,0.0
2019-01-04 16:45:00,0.0,0.0,121.719,0.0,0.0
2019-01-05 08:45:00,0.0,0.0,123.766,0.0,0.0
2019-01-05 12:45:00,0.0,0.0,123.266,0.0,0.0
2019-01-05 22:45:00,0.0,0.0,120.281,0.0,0.0
2019-01-06 04:45:00,0.0,0.0,124.156,0.0,0.0
2019-01-06 18:44:00,0.0,0.0,121.578,0.0,0.0
2019-01-07 00:45:00,0.0,0.0,120.672,0.0,0.0
2019-01-07 14:44:00,0.0,0.0,123.109,0.0,0.0
2019-01-08 06:45:00,0.0,0.0,124.422,0.0,0.0
2019-01-08 10:44:00,0.0,0.0,122.75,0.0,0.0
2019-01-08 20:45:00,0.0,0.0,120.359,0.0,0.0
2019-01-09 02:45:00,0.0,0.0,121.875,0.0,0.0
2019-01-09 16:45:00,0.0,0.0,122.953,0.0,0.0
2019-01-10 08:45:00,0.0,0.0,123.406,0.0,0.0
2019-01-10 12:44:00,0.0,0.0,123.156,0.0,0.0
2019-01-10 22:45:00,0.0,0.0,120.969,0.0,0.0
2019-01-11 04:45:00,0.0,0.0,124.25,0.0,0.0
2019-01-11 18:45:00,0.0,0.0,121.375,0.0,0.0
2019-01-12 00:45:00,0.0,0.0,120.297,0.0,0.0
2019-01-12 14:44:00,0.0,0.0,123.328,0.0,0.0
2019-01-13 06:45:00,0.0,0.0,124.188,0.0,0.0
2019-01-13 10:45:00,0.0,0.0,123.594,0.0,0.0
2019-01-13 20:44:00,0.0,0.0,121.75,0.0,0.0
2019-01-14 02:44:00,0.0,0.0,121.688,0.0,0.0
2019-01-14 16:45:00,0.0,0.0,122.469,0.0,0.0
2019-01-15 08:45:00,0.0,0.0,123.562,0.0,0.0
2019-01-15 12:45:00,0.0,0.0,123.344,0.0,0.0
2019-01-15 22:45:00,0.0,0.0,120.328,0.0,0.0
2019-01-16 04:45:00,0.0,0.0,123.766,0.0,0.0
2019-01-16 18:44:00,0.0,0.0,122.156,0.0,0.0
2019-01-17 00:45:00,0.0,0.0,119.828,0.0,0.0
2019-01-17 14:45:00,0.0,0.0,122.688,0.0,0.0
2019-01-18 06:45:00,0.0,0.0,123.219,0.0,0.0
2019-01-18 10:45:00,0.0,0.0,123.734,0.0,0.0
2019-01-18 20:45:00,0.0,0.0,120.844,0.0,0.0
2019-01-19 02:44:00,0.0,0.0,121.672,0.0,0.0
2019-01-19 16:44:00,0.0,0.0,122.719,0.0,0.0
2019-01-20 08:45:00,0.0,0.0,123.953,0.0,0.0
2019-01-20 12:45:00,0.0,0.0,123.641,0.0,0.0
2019-01-20 22:45:00,0.0,0.0,119.969,0.0,0.0
2019-01-21 04:45:00,0.0,0.0,122.328,0.0,0.0
2019-01-21 18:45:00,0.0,0.0,121.062,0.0,0.0
2019-01-22 00:45:00,0.0,0.0,120.281,0.0,0.0
2019-01-22 14:44:00,0.0,0.0,123.719,0.0,0.0
2019-01-23 06:44:00,0.0,0.0,124.719,0.0,0.0
2019-01-23 10:44:00,0.0,0.0,123.516,0.0,0.0
2019-01-23 20:44:00,0.0,0.0,120.578,0.0,0.0
2019-01-24 02:45:00,0.0,0.0,121.109,0.0,0.0
2019-01-24 16:44:00,0.0,0.0,122.547,0.0,0.0
2019-01-25 08:45:00,0.0,0.0,123.828,0.0,0.0
2019-01-25 12:45:00,0.0,0.0,123.922,0.0,0.0
2019-01-25 22:45:00,0.0,0.0,120.734,0.0,0.0
