measured_on,inv_string09_ac_output_(kwh)_inv_150212,inv_string09_ac_output_(power_factor)_inv_150213,inv_string09_ac_voltage_(v)_inv_150211,inv_string09_dc_voltage_(v)_inv_150210,inv_string09_temperature_(c)_inv_150214
2019-06-21 14:51:50,41.572,0.998986902,121.375,398.5,58.8346
2019-06-21 14:56:50,40.794,0.999043977,121.656,399.0,60.089
2019-06-21 15:01:50,39.668,0.997348083,121.5,399.375,61.5036
2019-06-21 15:06:50,13.603,0.99845713,119.234,399.125,59.4006
2019-06-21 15:11:49,16.416,0.997443389,119.766,398.938,56.3078
2019-06-21 15:16:49,26.657,0.999322187,120.344,398.812,55.2428
2019-06-21 15:21:49,35.725,0.998235739,121.641,398.562,56.5608
2019-06-21 15:26:50,24.528,0.996941522,120.344,399.125,57.8524
2019-06-21 15:31:50,19.161,0.997335005,120.375,399.062,55.9689
2019-06-21 15:36:50,23.064,0.997265625,120.625,398.938,54.9153
2019-06-21 15:41:50,17.251,0.996519923,120.75,399.062,54.1306
2019-06-21 15:46:50,16.377,0.998713708,120.375,399.0,53.0251
2019-06-21 15:51:50,14.538,0.996059726,119.844,398.75,52.0488
2019-06-21 15:56:49,14.129,0.996811224,120.094,399.062,51.055
2019-06-21 16:01:49,12.661,0.998811787,119.859,399.188,50.0826
2019-06-21 16:06:49,12.127,0.997281937,120.453,399.25,49.1815
2019-06-21 16:11:50,18.229,0.997197956,121.203,399.25,49.4461
2019-06-21 16:16:50,16.668,0.998378963,120.906,399.188,50.7068
2019-06-21 16:21:50,13.088,0.998391174,120.922,398.812,51.3243
2019-06-21 16:26:50,12.011,0.998748749,120.625,399.062,50.3565
2019-06-21 16:31:50,9.477,0.996503497,120.703,399.062,49.7091
2019-06-21 16:36:50,11.918,0.997477296,120.875,399.312,49.1483
2019-06-21 16:41:50,11.077,0.998917163,120.719,399.125,49.0819
2019-06-21 16:46:50,12.794,0.997888315,120.547,399.188,48.8153
2019-06-21 16:51:50,20.621,0.997091332,121.391,399.188,49.2147
2019-06-21 16:56:50,19.919,0.997435897,121.828,398.938,49.8728
2019-06-21 17:01:50,17.692,0.997633136,121.375,399.062,49.9055
2019-06-21 17:06:50,10.721,0.997201231,120.984,398.938,49.7091
2019-06-21 17:11:50,15.476,0.998639984,121.031,399.25,49.347
2019-06-21 17:16:50,12.076,0.998004988,121.141,399.25,49.347
2019-06-21 17:21:50,8.108,0.996286669,120.609,399.188,49.2147
2019-06-21 17:26:49,2.308,0.979354839,120.156,398.688,48.48
2019-06-21 17:31:49,2.128,0.983098592,120.375,399.062,47.6312
2019-06-21 17:36:49,1.998,0.979532164,120.375,399.0,46.8775
2019-06-21 17:41:49,2.413,0.984107579,120.875,399.25,46.3528
2019-06-21 17:46:50,2.408,0.980148883,121.344,399.375,45.8165
2019-06-21 17:51:49,1.844,0.97611465,121.172,398.938,45.3521
2019-06-21 17:56:49,1.56,0.975700935,120.828,398.938,44.8437
2019-06-21 18:01:49,1.746,0.969387755,120.891,399.0,44.3057
2019-06-21 18:06:49,1.68,0.974137931,121.406,399.188,43.817
2019-06-21 18:11:49,1.353,0.959051724,121.391,398.812,43.5395
2019-06-21 18:16:50,1.408,0.961065574,121.594,398.938,43.1354
2019-06-21 18:21:50,1.57,0.966972477,121.656,398.875,42.9162
2019-06-21 18:26:50,1.339,0.956803456,121.562,399.5,42.6379
2019-06-21 18:31:49,1.097,0.933161954,121.484,399.0,42.5113
2019-06-21 18:36:49,0.8339999999999999,0.875399361,120.953,398.875,42.2888
2019-06-21 18:41:49,0.685,0.8237410069999999,121.578,399.062,42.225
2019-06-21 18:46:49,0.555,0.7727272729999999,121.656,399.375,42.0651
